,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,226360,KH 건설,512,55,12.04,"27,894,566",464,524,445,"836,145","451,424",1.8522386935563904
1,053590,한국테크놀로지,571,3,0.52,"27,215,725",564,600,547,"504,376","166,818",3.0235106523276865
3,019570,리더스 기술투자,623,33,5.59,"18,524,656",685,743,596,"236,358","98,522",2.399037778364223
4,090710,휴림로봇,"2,500",35,1.42,"14,434,738","2,500","2,565","2,420","761,490","1,302,534",0.5846219753188784
5,239340,줌인터넷,"5,010",330,7.05,"12,779,984","4,895","5,220","4,855","91,862","62,292",1.47469980093752
6,417180,핑거스토리,"11,450","2,410",26.66,"12,557,131","9,390","11,550","9,300","208,456","235,166",0.8864206560472178
7,006910,보성파워텍,"4,575",380,9.06,"11,508,718","4,720","4,850","4,560","142,965","93,724",1.5253830395629722
8,032820,우리기술,"1,560",55,3.65,"10,102,568","1,615","1,660","1,550","778,239","444,861",1.7493981266058387
9,089530,에이티세미콘,"1,130",169,17.59,"7,864,847","1,015","1,220",989,"365,196","125,602",2.9075651661597743
10,025980,아난티,"7,280",630,9.47,"5,718,404","6,800","7,470","6,780","97,679","73,982",1.3203076423995026
11,044060,조광ILI,"1,310",20,1.55,"5,608,009","1,320","1,360","1,300","584,867","979,675",0.5970010462653431
12,242040,나무기술,"2,675",25,0.94,"5,236,676","2,795","2,870","2,645","60,362","77,848",0.7753827972459151
13,121800,비덴트,"4,515",95,2.15,"4,824,174","4,635","4,740","4,440","67,117","88,079",0.762009105462142
14,900280,골든센츄리,378,17,4.71,"4,407,482",383,391,373,"428,794","208,317",2.0583725764099907
15,900310,컬러레이,"1,355",70,5.45,"3,893,771","1,320","1,370","1,300","323,221","647,818",0.49893797331966694
16,222420,쎄노텍,"2,010",45,2.29,"3,809,633","2,040","2,115","2,005","250,735","128,676",1.948576269078927
17,207760,미스터블루,"3,330",145,4.55,"3,578,609","3,200","3,330","3,180","103,277","259,955",0.39728799215248795
18,043910,자연과환경,"1,295",65,4.78,"3,378,460","1,360","1,365","1,265","577,011","322,066",1.7915924065253706
19,089140,넥스턴바이오,"2,125",75,3.66,"3,064,797","2,050","2,240","2,030","29,191","119,766",0.2437336138804001
20,109610,에스와이,"4,170",65,1.58,"3,052,741","4,200","4,250","4,150","63,006","181,506",0.347129020528247
21,073640,테라사이언스,"2,355",10,0.42,"3,009,451","2,400","2,460","2,250","43,194","64,916",0.6653829564360096
