,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,380540,32.57,옵티코어,"3,460",795,29.83,"52,652,877","2,610","3,460","2,610","214,483","197,433",1.086358410194851
3,372800,21.27,아이티아이즈,"10,150","1,520",17.61,"1,433,469","8,480","10,700","8,370","24,427","23,225",1.0517545748116255
4,347860,15.76,알체라,"10,800","1,400",14.89,"11,210,069","9,420","11,900","9,330","175,731","83,890",2.0947788771009654
5,220180,15.59,핸디소프트,"3,930",500,14.58,"12,079,554","3,580","4,410","3,400","39,383","11,871",3.3175806587482097
6,041460,15.09,한국전자인증,"6,100",670,12.34,"20,785,208","5,400","6,700","5,300","133,331","41,425",3.218611949305975
7,291230,14.39,엔피,"6,520",670,11.45,"10,524,488","5,910","6,810","5,700","76,581","52,997",1.4450063211125157
8,263800,13.30,데이타솔루션,"8,180",570,7.49,"6,929,271","7,430","8,230","7,220","45,498","36,349",1.25169880877053
9,144960,13.23,뉴파워프라즈마,"4,450",560,14.40,"749,387","3,930","4,550","3,930","8,321","1,496",5.56216577540107
10,019770,12.77,서연탑메탈,"4,900",565,13.03,"9,460,472","4,345","5,630","4,345","37,925","6,678",5.679095537586104
11,300080,11.11,플리토,"27,000","2,600",10.66,"1,036,888","24,650","29,050","24,300","11,118","1,559",7.131494547787043
12,106520,10.41,노블엠앤비,"1,750",205,13.27,"4,181,307","1,590","2,000","1,585","55,913","13,636",4.1003960105602815
13,377030,10.12,맥스트,"14,150","1,200",9.27,"2,662,055","13,150","14,300","12,850","71,463","163,559",0.4369249017174231
14,073570,9.55,어반리튬,"17,200","1,600",10.26,"3,401,357","15,700","18,000","15,700","64,588","42,922",1.5047761054936861
15,052020,9.32,에스티큐브,"15,250","1,150",8.16,"2,507,251","14,200","16,200","13,950","38,012","24,565",1.5474048442906574
16,217480,8.80,에스디생명공학,"1,545",125,8.80,"2,954,097","1,435","1,635","1,420","103,020","113,546",0.9072974829584486
17,389140,8.30,포바이포,"12,400",600,5.08,"1,496,217","11,800","12,950","11,450","115,547","143,247",0.8066277129713013
18,305090,8.20,마이크로디지탈,"4,290",125,3.00,"222,615","4,165","4,400","3,965","2,644","3,876",0.6821465428276574
19,082660,8.16,코스나인,888,13,1.49,"3,981,378",871,920,821,"103,732","47,031",2.2056090663604855
