,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,229000,젠큐릭스,"5,780","1,340",18.82,"840,222","5,470","6,400","5,400","29,404","2,289",12.845784185233727
1,064240,홈캐스트,"4,650",750,13.89,"1,351,695","5,350","5,490","4,600","9,595","8,515",1.1268349970640048
2,096610,알에프세미,"3,055",480,13.58,"911,707","3,545","3,695","3,015","8,925","5,796",1.539855072463768
3,007390,네이처셀,"13,350","1,850",12.17,"2,355,680","14,750","14,850","13,200","136,802","70,487",1.9408117808957681
4,115450,HLB테라퓨틱스,"11,950","1,450",10.82,"1,583,681","13,500","13,750","11,850","91,745","24,939",3.6787762139620677
5,053950,경남제약,"2,450",260,9.59,"3,584,544","2,655","2,665","2,420","114,354","97,601",1.1716478314771366
6,053590,한국테크놀로지,514,52,9.19,"37,287,689",572,576,505,"481,066","583,660",0.8242230065449063
7,227610,아우딘퓨쳐스,"2,710",270,9.06,"8,951,425","2,980","2,995","2,555","77,756","37,145",2.0933100013460764
8,019570,리더스 기술투자,538,44,7.56,"10,957,786",597,597,515,"123,548","98,047",1.260089548889818
9,227100,에이치앤비디자인,"3,730",260,6.52,"101,463","3,970","3,970","3,695","5,639","8,227",0.6854260362221952
10,054950,제이브이엠,"19,900","1,350",6.35,"100,276","21,350","21,600","19,500","4,243","7,157",0.5928461645941037
11,093640,다믈멀티미디어,"6,280",420,6.27,"666,217","6,550","6,600","6,060","28,406","16,579",1.7133723385005126
12,051160,지어소프트,"11,350",750,6.20,"873,121","12,000","12,150","11,350","136,289","39,453",3.4544648062251286
13,222110,팬젠,"6,350",420,6.20,"22,458","6,780","6,830","6,350","3,496","1,940",1.8020618556701031
14,054180,메디콕스,"2,120",140,6.19,"2,203,406","2,240","2,310","2,095","109,403","54,977",1.9899776270076577
15,025870,신라에스지,"11,450",750,6.15,"211,793","11,950","12,200","11,350","17,873","14,639",1.2209167292847871
16,019990,에너토크,"10,800",700,6.09,"484,687","11,600","11,650","10,800","55,311","33,065",1.6727960078632995
17,073640,테라사이언스,"2,250",145,6.05,"3,369,105","2,250","2,340","2,175","160,841","125,162",1.285062558923635
18,019590,엠벤처투자,939,60,6.01,"4,306,304","1,000","1,000",901,"140,267","93,902",1.4937594513428893
19,032750,삼진,"7,590",460,5.71,"255,855","8,020","8,050","7,490","16,496","4,169",3.9568241784600624
20,298060,에스씨엠생명과학,"11,700",700,5.65,"288,152","12,400","12,500","11,600","35,772","12,158",2.942260240171081
21,351330,이삭엔지니어링,"10,100",600,5.61,"323,302","10,700","10,750","10,000","25,441","26,860",0.9471705137751303
22,177350,베셀,"7,490",440,5.55,"527,533","7,950","8,110","7,430","12,834","10,134",1.266429840142096
23,950200,소마젠,"7,330",430,5.54,"256,362","7,760","7,760","7,320","11,622","5,247",2.2149799885648944
24,256840,한국비엔씨,"5,010",290,5.47,"688,519","5,280","5,310","5,000","39,191","41,899",0.9353683858803312
25,041590,플래스크,"1,060",60,5.36,"996,187","1,120","1,120","1,040","208,200","88,597",2.3499667031615066
26,020180,대신정보통신,"1,215",65,5.08,"3,081,735","1,335","1,350","1,205","190,062","140,698",1.3508507583618814
27,048410,현대바이오,"26,200","1,400",5.07,"736,679","27,350","27,400","26,050","134,551","24,232",5.552616375041268
